antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'홍대'}),"frozenset({'합정', '상수'})",0.31788079470198677,0.13245033112582782,0.11920529801324503,0.375,2.83125,0.07710188149642558,1.3880794701986754,0.948220064724919
frozenset({'상수'}),"frozenset({'합정', '홍대'})",0.17218543046357615,0.16556291390728478,0.11920529801324503,0.6923076923076923,4.181538461538461,0.0906977764133152,2.7119205298013247,0.919111111111111
frozenset({'홍대'}),frozenset({'연남'}),0.31788079470198677,0.17218543046357615,0.12582781456953643,0.3958333333333333,2.2988782051282053,0.07109337309767116,1.3701758392327015,0.8283086356668371
frozenset({'연남'}),frozenset({'홍대'}),0.17218543046357615,0.31788079470198677,0.12582781456953643,0.7307692307692308,2.2988782051282053,0.07109337309767116,2.5335856196783353,0.6825263157894738
frozenset({'상수'}),frozenset({'연남'}),0.17218543046357615,0.17218543046357615,0.11258278145695365,0.653846153846154,3.7973372781065096,0.08293495899302664,2.391464311994114,0.8898823529411766
frozenset({'연남'}),frozenset({'상수'}),0.17218543046357615,0.17218543046357615,0.11258278145695365,0.653846153846154,3.7973372781065096,0.08293495899302664,2.391464311994114,0.8898823529411766
frozenset({'합정'}),frozenset({'연남'}),0.1986754966887417,0.17218543046357615,0.11258278145695365,0.5666666666666668,3.2910256410256418,0.07837375553703786,1.9103413143148247,0.8687408847836656
frozenset({'연남'}),frozenset({'합정'}),0.17218543046357615,0.1986754966887417,0.11258278145695365,0.653846153846154,3.2910256410256418,0.07837375553703786,2.3149374540103023,0.8409411764705883
frozenset({'강남'}),frozenset({'연남'}),0.37748344370860926,0.17218543046357615,0.10596026490066225,0.2807017543859649,1.630229419703104,0.04096311565282225,1.150864157648199,0.6210106382978723
frozenset({'연남'}),frozenset({'강남'}),0.17218543046357615,0.37748344370860926,0.10596026490066225,0.6153846153846154,1.630229419703104,0.04096311565282225,1.6185430463576163,0.467
"frozenset({'합정', '연남'})",frozenset({'상수'}),0.11258278145695365,0.17218543046357615,0.10596026490066225,0.9411764705882353,5.46606334841629,0.08657515021270996,14.072847682119201,0.9207089552238806
"frozenset({'상수', '연남'})",frozenset({'합정'}),0.11258278145695365,0.1986754966887417,0.10596026490066225,0.9411764705882353,4.737254901960784,0.08359282487610192,13.622516556291387,0.8889925373134329
"frozenset({'합정', '상수'})",frozenset({'연남'}),0.13245033112582782,0.17218543046357615,0.10596026490066225,0.7999999999999999,4.646153846153846,0.0831542476207184,4.139072847682118,0.9045801526717557
frozenset({'연남'}),"frozenset({'합정', '상수'})",0.17218543046357615,0.13245033112582782,0.10596026490066225,0.6153846153846154,4.646153846153846,0.0831542476207184,2.255629139072848,0.948
frozenset({'합정'}),"frozenset({'상수', '연남'})",0.1986754966887417,0.11258278145695365,0.10596026490066225,0.5333333333333333,4.737254901960784,0.08359282487610192,1.901608325449385,0.984504132231405
frozenset({'상수'}),"frozenset({'합정', '연남'})",0.17218543046357615,0.11258278145695365,0.10596026490066225,0.6153846153846154,5.46606334841629,0.08657515021270996,2.307284768211921,0.9869999999999999
"frozenset({'합정', '홍대'})",frozenset({'연남'}),0.16556291390728478,0.17218543046357615,0.10596026490066225,0.6399999999999999,3.7169230769230763,0.07745274330073243,2.2994849153789545,0.8759920634920635
"frozenset({'합정', '연남'})",frozenset({'홍대'}),0.11258278145695365,0.31788079470198677,0.10596026490066225,0.9411764705882353,2.96078431372549,0.07017236086136572,11.59602649006622,0.7462686567164178
"frozenset({'홍대', '연남'})",frozenset({'합정'}),0.12582781456953643,0.1986754966887417,0.10596026490066225,0.8421052631578947,4.23859649122807,0.08096136134380072,5.075055187637967,0.8740530303030304
frozenset({'합정'}),"frozenset({'홍대', '연남'})",0.1986754966887417,0.12582781456953643,0.10596026490066225,0.5333333333333333,4.23859649122807,0.08096136134380072,1.8732261116367077,0.9535123966942151
frozenset({'홍대'}),"frozenset({'합정', '연남'})",0.31788079470198677,0.11258278145695365,0.10596026490066225,0.3333333333333333,2.96078431372549,0.07017236086136572,1.3311258278145695,0.9708737864077669
frozenset({'연남'}),"frozenset({'합정', '홍대'})",0.17218543046357615,0.16556291390728478,0.10596026490066225,0.6153846153846154,3.7169230769230768,0.07745274330073243,2.16953642384106,0.883
frozenset({'강남'}),frozenset({'을지로'}),0.37748344370860926,0.31125827814569534,0.13245033112582782,0.3508771929824562,1.1272863008585294,0.014955484408578593,1.061034544478253,0.18138297872340448
frozenset({'을지로'}),frozenset({'강남'}),0.31125827814569534,0.37748344370860926,0.13245033112582782,0.4255319148936171,1.1272863008585294,0.014955484408578593,1.0836399313220508,0.16394230769230794
frozenset({'을지로'}),frozenset({'홍대'}),0.31125827814569534,0.31788079470198677,0.10596026490066225,0.34042553191489366,1.070921985815603,0.00701723608613658,1.0341807306131168,0.09615384615384624
frozenset({'홍대'}),frozenset({'을지로'}),0.31788079470198677,0.31125827814569534,0.10596026490066225,0.3333333333333333,1.070921985815603,0.00701723608613658,1.0331125827814567,0.0970873786407768
frozenset({'잠실'}),frozenset({'강남'}),0.26490066225165565,0.37748344370860926,0.1390728476821192,0.5249999999999999,1.3907894736842104,0.039077233454673024,1.3105611711397698,0.3822393822393821
frozenset({'강남'}),frozenset({'잠실'}),0.37748344370860926,0.26490066225165565,0.1390728476821192,0.3684210526315789,1.3907894736842104,0.039077233454673024,1.163907284768212,0.45136778115501497
